"STAGE 6 — COMPONENT DECOMPOSITION (house rules 4+5). Buckets 1-5 summed from data_lineitems (SUMIFS); bucket 6 = observed-minus-modelled MEMO (D39). Reconciliation: buckets must equal the stage-4 all-in total within +/-2 pct (hard stop). Real 2025 USD/MWh. Converted at annual-average market FX. Excludes VAT. E1/E2 are MODELLED, not observed.",,,,,,,,,,,,,,,,,,,
"Structural breaks: UK CfD-ILR 2016, TCR 2023, NCC 2024/2026; DE EEG-to-budget 07/2022, bundeseinheitlich 2023, subsidy 2026; CN 2021-10 market reform, 2026 136-hao — never draw a continuous line through them. CN decomposition 2022+ = Jiangsu representative (D41).",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ctry,Arch,Case,Bucket,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
UK,large,E1,leg header,,,,,,,,,,,,,,,,
UK,large,E1,1 Commodity,103.41102418572,111.5873547544,101.330461147206,110.725016614863,95.9124504774127,85.3117146003847,78.1738291962419,79.086282321719,100.664917860847,71.0316640099528,59.6131831932966,210.331600371518,122.878829052707,362.839770058702,168.751002219821,106.25054468
UK,large,E1,2 Gen capital recovery,9.47267992712278,12.1635206835678,18.0243100527009,23.6862268812147,30.4330806934606,35.638821670412,37.2214090594943,42.847711097859,54.5797060423256,59.5194785641035,64.3947347997506,64.4184796181068,45.8345764724595,52.9114896499432,67.2899644124047,59.828134136
UK,large,E1,3 Network,5.40582611570125,5.99487842021073,6.83866568682675,7.29649410157104,8.95488366790948,9.86629710987415,10.0786164576634,9.90743116384013,9.85883949137886,10.0773528718649,10.0279248199516,10.6153365797116,9.37204826438275,11.8002353714144,12.0034835549483,12.8641025661627
UK,large,E1,4 System services & balancing,2.51064721503559,3.45547258949764,3.35554470548033,4.01514232708371,4.53024939587169,4.51726377653535,4.70345997232664,4.28155951690193,5.30255020224645,5.90368517383964,7.89684946422478,11.3065944374388,12.6716596708252,18.0334231552139,12.9861294089688,17.433228
UK,large,E1,5 General taxation & levies,10.7224369928826,11.1363160735355,11.3148211665418,11.3273101076336,12.127591286885,11.5012828356109,10.1640409947835,9.61615581494778,9.98832558290689,13.6184469258733,12.9422538911291,12.6737209849799,10.5470146113171,10.1865181816988,10.1659093858089,11.43192336
UK,large,E1,TOTAL modelled (sum buckets),131.522614436462,144.337542521211,140.863802758756,157.050190032366,151.958255521539,146.835379992817,140.34135568051,145.739139915268,180.394339179705,160.150627545634,154.874946168353,309.345731991755,201.304128071691,455.771436416972,271.196488981952,207.807932742163
UK,large,E1,REFERENCE — timeseries USD r74,131.522614436462,144.337542521211,140.863802758756,157.050190032366,151.958255521539,146.835379992817,140.34135568051,145.739139915268,180.394339179705,160.150627545634,154.874946168353,309.345731991755,201.304128071691,455.771436416972,271.196488981952,207.807932742163
UK,large,E1,RECONCILIATION (total/ref - 1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,large,E1,GATE +/-2 pct,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
,,,,,,,,,,,,,,,,,,,
UK,large,E2,leg header,,,,,,,,,,,,,,,,
UK,large,E2,1 Commodity,103.390939008,111.559710973684,101.303616789562,110.692895476246,95.8762084822458,85.2755764901724,78.1322740873848,79.0293607740411,100.561434010671,70.8897562557263,59.42189316994,210.121724860262,122.761697582877,362.639626663857,168.517459668531,105.98136192
UK,large,E2,2 Gen capital recovery,9.47267992712278,12.1635206835678,18.0243100527009,23.6862268812147,30.4330806934606,35.638821670412,36.8041197199052,40.4952447051278,17.2117764221348,12.1223720995926,12.5614986862562,13.7993354701123,8.54949442005052,10.2019093534767,0,0
